indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
0;FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;;;;;;;
1;FGA0006 - FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA;1;2022;2;VINICIUS DE CARVALHO RISPOLI;60h;35M34;60;24;FGA - SALA I3;;;;;;;
2;FGA0008 - SISTEMAS AEROESPACIAIS;1;2022;2;RONNE TOLEDO;60h;24M34;30;24;FGA - CONTAINER Nº 17;;;;;;;
3;FGA0013 - ANATOMIA E FISIOLOGIA HUMANA;1;2022;2;SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;60h;24M12;50;42;FGA - SALA I3;;;;;;;
4;FGA0015 - PROCESSAMENTO DIGITAL DE IMAGENS;1;2022;2;MARCUS VINICIUS CHAFFIM COSTA;60h;46M34;40;5;FGA - SALA I7;;;;;;;
5;FGA0016 - TÓPICOS ESPECIAL EM INSTRUMENTAÇÃO BIOMÉDICA;1;2022;2;SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;60h;24M34;20;20;FGA - LDTEA SALA 2;;;;;;;
6;FGA0017 - PROJETOS DE CIRCUITOS INTEGRADOS 1;1;2022;2;WELLINGTON AVELINO DO AMARAL;60h;35T23;45;37;FGA - SALA LAB SS;;;;;;;
7;FGA0023 - DINÂMICA DOS MECANISMOS;1;2022;2;RITA DE CASSIA SILVA;60h;35M12;40;6;FGA - SALA I7 E I4;;;;;;;
8;FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA;1;2022;2;ALEX REIS;30h;46T23;45;13;FGA - SALA I5;;;;;;;
9;FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA;1;2022;2;JORGE ANDRES CORMANE ANGARITA;30h;46T23;45;13;FGA - SALA I5;;;;;;;
10;FGA0030 - ESTRUTURAS DE DADOS 2;1;2022;2;JOHN LENON CARDOSO GARDENGHI;60h;26T45;132;132;FGA - SALA S4 E S1;;;;;;;
11;FGA0034 - TÓPICOS ESPECIAIS EM MATEMÁTICA APLICADA;1;2022;2;RICARDO RAMOS FRAGELLI;60h;2T2345;15;10;FGA - SALA MULTIUSO;;;;;;;
12;FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL;1;2022;2;Fernando Merege;60h;46T23;25;9;FGA - LAB TERMODINÂMICA;;;;;;;
13;FGA0038 - AERODINÂMICA DE SISTEMAS AEROESPACIAIS;1;2022;2;OLEXIY SHYNKARENKO;75h;35T45 6T4;30;16;FGA - SALA I4;;;;;;;
14;FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS;1;2022;2;ARTEM ANDRIANOV;75h;2M5 35M12;49;32;FGA - SALA I10 / I4 / S7;;;;;;;
15;FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO;1;2022;2;RAFAEL RODRIGUES DA SILVA;30h;24M34;16;7;FGA - SALA LAB SHP;;;;;;;
16;FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO;1;2022;2;ANDRE MURILO DE ALMEIDA PINTO;30h;24M34;16;7;FGA - SALA LAB SHP;;;;;;;
17;FGA0043 - DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS;1;2022;2;OLEXIY SHYNKARENKO;60h;35T23;48;45;FGA - SALA S5;;;;;;;
18;FGA0045 - MECÂNICA DO VÔO;1;2022;2;POLLIANA CANDIDA OLIVEIRA MARTINS;60h;46M34;45;29;FGA - SALA S8;;;;;;;
19;FGA0047 - PROCESSOS PETROQUÍMICOS;1;2022;2;ANDREIA ALVES COSTA LINDINGER;60h;35M34;45;6;FGA - SALA I1;;;;;;;
20;FGA0048 - MECÂNICA DO VOO ESPACIAL;1;2022;2;WILLIAM REIS SILVA;60h;46M34;45;21;FGA - SALA S9;;;;;;;
21;FGA0049 - PROJETO DE SISTEMAS AEROESPACIAIS;1;2022;2;GIANCARLO SANTILLI;60h;246T23;30;6;FGA - CONTEINER 04;;;;;;;
22;FGA0049 - PROJETO DE SISTEMAS AEROESPACIAIS;1;2022;2;PAOLO GESSINI;30h;246T23;30;6;FGA - CONTEINER 04;;;;;;;
23;FGA0050 - DINÂMICA DE ESTRUTURAS AEROESPACIAIS;1;2022;2;SERGIO HENRIQUE DA SILVA CARNEIRO;60h;35M34;45;18;FGA - SALA I4;;;;;;;
24;FGA0052 - PROPULSÃO AEROESPACIAL;1;2022;2;PAOLO GESSINI;30h;235M12;45;6;FGA - SALA I1;;;;;;;
25;FGA0052 - PROPULSÃO AEROESPACIAL;1;2022;2;JUNGPYO LEE;60h;235M12;45;6;FGA - SALA I1;;;;;;;
26;FGA0053 - TÓPICOS ESPECIAIS EM PROGRAMAÇÃO;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T45;44;31;FGA - SALAS S7 e I7;;;;;;;
27;FGA0055 - TECNOLOGIAS DE FABRICAÇÃO 1;1;2022;2;RHANDER VIANA;60h;35T23;20;18;FGA - SALA S8;;;;;;;
28;FGA0056 - TECNOLOGIAS DE FABRICAÇÃO 2;1;2022;2;EDISON GUSTAVO CUEVA GALARRAGA;60h;35M34;25;20;FGA - SALA I8;;;;;;;
29;FGA0057 - ELETRÔNICA DE POTÊNCIA;1;2022;2;MARCUS VINICIUS BATISTUTA;60h;24T45;45;12;FGA - SALA I1 / I2;;;;;;;
30;FGA0060 - SISTEMAS DE BANCO DE DADOS 2;1;2022;2;VANDOR ROBERTO VILARDI RISSOLI;60h;35M12;40;39;FGA - SALA I6;;;;;;;
31;FGA0060 - SISTEMAS DE BANCO DE DADOS 2;2;2022;2;GIOVANNI ALMEIDA SANTOS;60h;46M12;45;39;FGA - SALA I6 E I7;;;;;;;
32;FGA0060 - SISTEMAS DE BANCO DE DADOS 2;4;2022;2;GIOVANNI ALMEIDA SANTOS;60h;7M1234;68;31;FGA - SALA I10;;;;;;;
33;FGA0062 - PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA;2;2022;2;GIANCARLO SANTILLI;60h;24M34;20;2;FGA - LAB TERMODINÂMICA;;;;;;;
34;FGA0065 - PROPULSÃO ELÉTRICA;1;2022;2;PAOLO GESSINI;60h;24M34;15;6;FGA- SALA MULTIUSO;;;;;;;
35;FGA0066 - FUNDAMENTOS DE VARIÁVEL COMPLEXA PARA ENGENHARIA;1;2022;2;TATIANE DA SILVA EVANGELISTA;60h;35M12;60;19;FGA - SALA I3;;;;;;;
36;FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1;1;2022;2;EULER DE VILHENA GARCIA;60h;35M12;50;33;FGA - SALA S9;;;;;;;
37;FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1;2;2022;2;LUIS FILOMENO DE JESUS FERNANDES;30h;24M12;45;24;FGA - S8;;;;;;;
38;FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1;2;2022;2;MARCELINO MONTEIRO DE ANDRADE;30h;24M12;45;24;FGA - S8;;;;;;;
39;FGA0068 - TEORIA DE CIRCUITOS ELETRÔNICOS 2;1;2022;2;GILMAR SILVA BESERRA;60h;24M34;60;18;FGA - SALA I3 / SALA S6;;;;;;;
40;FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1;1;2022;2;DIOGO DE OLIVEIRA COSTA;30h;3T23;24;10;FGA - SALA LAB NEI;;;;;;;
41;FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1;2;2022;2;ANDERSON JOSE COSTA SENA;30h;5M34;24;11;FGA - SALA LAB NEI;;;;;;;
42;FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1;4;2022;2;DIOGO DE OLIVEIRA COSTA;30h;6M12;24;9;FGA - SALA LAB NEI;;;;;;;
43;FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1;6;2022;2;ANDERSON JOSE COSTA SENA;30h;4M34;24;20;FGA - SALA LAB NEI;;;;;;;
44;FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1;7;2022;2;ANDERSON JOSE COSTA SENA;30h;5M12;24;5;FGA - SALA LAB NEI;;;;;;;
45;FGA0070 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 2;3;2022;2;ROBERTO DE SOUZA BAPTISTA;30h;6M34;20;18;FGA - SALA LAB NEI;;;;;;;
46;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;1;2022;2;CLAUDIA PATRICIA OCHOA DIAZ;30h;4M5 4T1;14;14;FGA - SALA LAB SS;;;;;;;
47;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;2;2022;2;ANDERSON JOSE COSTA SENA;30h;4T23;14;13;FGA - SALA LAB NEI 2;;;;;;;
48;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;3;2022;2;ANDERSON JOSE COSTA SENA;30h;4T45;14;12;FGA - SALA LAB NEI 2;;;;;;;
49;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;4;2022;2;ANDERSON JOSE COSTA SENA;30h;5T23;14;14;FGA - SALA LAB NEI 2;;;;;;;
50;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;5;2022;2;DIOGO DE OLIVEIRA COSTA;30h;6T23;14;9;FGA - SALA LAB NEI 2;;;;;;;
51;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;6;2022;2;GUILLERMO ALVAREZ BESTARD;30h;6M12;14;10;FGA - SALA LAB SS;;;;;;;
52;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;7;2022;2;HENRIQUE MARRA TAIRA MENEGAZ;30h;3M12;14;12;FGA - SALA LAB NEI 2;;;;;;;
53;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;8;2022;2;HENRIQUE MARRA TAIRA MENEGAZ;30h;2M12;14;14;FGA - SALA LAB SS;;;;;;;
54;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;9;2022;2;HENRIQUE MARRA TAIRA MENEGAZ;30h;3M34;14;12;FGA - SALA LAB NEI 2;;;;;;;
55;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;10;2022;2;HENRIQUE MARRA TAIRA MENEGAZ;30h;2M34;14;14;FGA - SALA LAB SS;;;;;;;
56;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;11;2022;2;DIOGO DE OLIVEIRA COSTA;30h;5M34;14;9;FGA - SALA LAB NEI 2;;;;;;;
57;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;12;2022;2;DIOGO DE OLIVEIRA COSTA;30h;6M34;14;13;FGA - SALA LAB SS;;;;;;;
58;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;13;2022;2;CLAUDIA PATRICIA OCHOA DIAZ;30h;6M5 6T1;14;14;FGA - SALA LAB SS;;;;;;;
59;FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1;16;2022;2;ANDERSON JOSE COSTA SENA;30h;3T23;14;13;FGA - SALA LAB NEI 2;;;;;;;
60;FGA0072 - PRÁTICA DE ELETRÔNICA DIGITAL 2;1;2022;2;DIOGO DE OLIVEIRA COSTA;30h;4M34;28;13;FGA - SALA LAB SS;;;;;;;
61;FGA0072 - PRÁTICA DE ELETRÔNICA DIGITAL 2;2;2022;2;ANDERSON JOSE COSTA SENA;30h;4M12;28;23;FGA - SALA LAB SS;;;;;;;
62;FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1;1;2022;2;RENATO VILELA LOPES;60h;46M12;100;93;FGA - SALA S1;;;;;;;
63;FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1;2;2022;2;RENATO VILELA LOPES;60h;46T23;100;78;FGA - SALA S2 / SALA S4;;;;;;;
64;FGA0074 - TEORIA DE ELETRÔNICA DIGITAL 2;1;2022;2;DANIEL MAURICIO MUNOZ ARBOLEDA;60h;35M34;60;35;FGA - SALA I2;;;;;;;
65;FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO;1;2022;2;EMMANUEL PACHECO ROCHA LIMA;15h;2T4;15;15;FGA - SALA LAB MAT;;;;;;;
66;FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO;2;2022;2;EMMANUEL PACHECO ROCHA LIMA;15h;4T4;15;15;FGA - SALA LAB MAT;;;;;;;
67;FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO;9;2022;2;EMMANUEL PACHECO ROCHA LIMA;15h;2T5;15;14;FGA - SALA LAB MAT;;;;;;;
68;FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO;11;2022;2;SANDRA MARIA DA LUZ;15h;5M1;15;11;FGA - SALA LAB MAT;;;;;;;
69;FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO;12;2022;2;SANDRA MARIA DA LUZ;15h;5M2;15;14;FGA - SALA LAB MAT;;;;;;;
70;FGA0076 - EQUIPAMENTOS TERMOFLUIDOS AUTOMOTIVOS;1;2022;2;FABIO ALFAIA DA CUNHA;30h;24M12;45;4;FGA - SALA I4;;;;;;;
71;FGA0076 - EQUIPAMENTOS TERMOFLUIDOS AUTOMOTIVOS;1;2022;2;ALESSANDRO BORGES DE SOUSA OLIVEIRA;30h;24M12;45;4;FGA - SALA I4;;;;;;;
72;FGA0077 - INTRODUÇÃO AO DESGASTE;1;2022;2;EDISON GUSTAVO CUEVA GALARRAGA;60h;35T45;15;4;FGA - SALA MULTIUSO;;;;;;;
73;FGA0078 - TEORIA DE MATERIAIS DE CONSTRUÇÃO;1;2022;2;EMMANUEL PACHECO ROCHA LIMA;45h;2T123;90;71;FGA - SALA S4;;;;;;;
74;FGA0078 - TEORIA DE MATERIAIS DE CONSTRUÇÃO;2;2022;2;RODRIGO ARBEY MUNOZ MENESES;45h;3T23 5T2;90;32;FGA - SALA S4;;;;;;;
75;FGA0083 - APRENDIZADO DE MÁQUINA;1;2022;2;FABRICIO ATAIDES BRAZ;60h;35M34;60;22;FGA - SALA S6;;;;;;;
76;FGA0084 - DESENVOLVIMENTO DE SOFTWARE;1;2022;2;SERGIO ANTONIO ANDRADE DE FREITAS;60h;26T45;70;63;FGA - SALA S6 E I10;;;;;;;
77;FGA0085 - MATEMÁTICA DISCRETA 1;1;2022;2;GLAUCO VITOR PEDROSA;60h;26M34;130;124;FGA - SALA S9 e S2;;;;;;;
78;FGA0085 - MATEMÁTICA DISCRETA 1;2;2022;2;GLAUCO VITOR PEDROSA;60h;46T23;69;66;FGA - SALA S7;;;;;;;
79;FGA0086 - TEORIA DE ELETRICIDADE APLICADA;1;2022;2;FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA;60h;24T45;43;41;FGA - SALA S8;;;;;;;
80;FGA0086 - TEORIA DE ELETRICIDADE APLICADA;2;2022;2;JORGE ANDRES CORMANE ANGARITA;60h;24M12;43;39;FGA - SALA I8;;;;;;;
81;FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA;1;2022;2;LOANA NUNES VELASCO;30h;2T45;20;17;FGA - SALA LAB ELETR;;;;;;;
82;FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA;2;2022;2;RUDI HENRI VAN ELS;30h;6M34;20;16;FGA - SALA LAB ELETR;;;;;;;
83;FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA;3;2022;2;JORGE ANDRES CORMANE ANGARITA;30h;2M34;18;17;FGA - SALA LAB ELETR;;;;;;;
84;FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA;4;2022;2;JORGE ANDRES CORMANE ANGARITA;30h;4M34;20;13;FGA - SALA LAB ELETR;;;;;;;
85;FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA;5;2022;2;RUDI HENRI VAN ELS;30h;6M12;18;18;FGA - SALA LAB ELETR;;;;;;;
86;FGA0088 - TEORIA DE SISTEMAS DE CONVERSÃO DE ENERGIA;1;2022;2;FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA;60h;46M12;60;19;FGA - SALA S6;;;;;;;
87;FGA0089 - LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA;1;2022;2;RUDI HENRI VAN ELS;30h;4T45;20;8;FGA - SALA LAB ELETR;;;;;;;
88;FGA0089 - LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA;2;2022;2;RUDI HENRI VAN ELS;30h;2T23;20;7;FGA - SALA LAB ELETR;;;;;;;
89;FGA0090 - ONDULATÓRIA E FÍSICA TÉRMICA PARA ENGENHARIA;1;2022;2;EBERTH DE ALMEIDA CORREA;60h;35T23;45;12;FGA - SALA I1;;;;;;;
90;FGA0091 - MÁQUINAS DE FLUIDO;1;2022;2;PAOLO GESSINI;30h;24M12 3T2;25;17;FGA - SALA I5 / LAB TERMOFLUIDOS/ SALA I5;;;;;;;
91;FGA0091 - MÁQUINAS DE FLUIDO;1;2022;2;JHON NERO VAZ GOULART;45h;24M12 3T2;25;17;FGA - SALA I5 / LAB TERMOFLUIDOS/ SALA I5;;;;;;;
92;FGA0091 - MÁQUINAS DE FLUIDO;2;2022;2;PAOLO GESSINI;45h;24M12 3T3;20;6;FGA - SALA I5 / LAB TERMOFLUIDOS/ SALA I5;;;;;;;
93;FGA0091 - MÁQUINAS DE FLUIDO;2;2022;2;JHON NERO VAZ GOULART;30h;24M12 3T3;20;6;FGA - SALA I5 / LAB TERMOFLUIDOS/ SALA I5;;;;;;;
94;FGA0092 - PRINCÍPIOS DE COMUNICAÇÃO PARA ENGENHARIA;1;2022;2;DANIEL COSTA ARAUJO;75h;35M12 3T1;50;35;FGA - SALA I2 / I10;;;;;;;
95;FGA0093 - PRINCÍPIOS DE CONTROLE;1;2022;2;LUIS FILOMENO DE JESUS FERNANDES;75h;3T23 5T234;50;3;FGA - SALA I3 / LAB SS;;;;;;;
96;FGA0096 - ELETRÔNICA EMBARCADA;1;2022;2;GUILLERMO ALVAREZ BESTARD;90h;246T45;50;28;FGA - SALA LAB SS;;;;;;;
97;FGA0098 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 3;1;2022;2;DIOGO DE OLIVEIRA COSTA;30h;4M12;20;5;FGA - SALA LAB NEI;;;;;;;
98;FGA0098 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 3;2;2022;2;DIOGO DE OLIVEIRA COSTA;30h;2T45;20;8;FGA - SALA LAB NEI;;;;;;;
99;FGA0099 - TEORIA DE CIRCUITOS ELETRÔNICOS 3;1;2022;2;WELLINGTON AVELINO DO AMARAL;60h;35T45;45;15;FGA - SALA I2;;;;;;;
100;FGA0100 - PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS;1;2022;2;GERARDO ANTONIO IDROBO PIZO;30h;3M34;20;10;FGA - SALA LAB NEI;;;;;;;
101;FGA0100 - PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS;2;2022;2;GERARDO ANTONIO IDROBO PIZO;30h;3M5 3T1;20;6;FGA - SALA LAB NEI;;;;;;;
102;FGA0101 - TEORIA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS;1;2022;2;MARCUS VINICIUS BATISTUTA;60h;35T45;60;14;FGA - SALA I3;;;;;;;
103;FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA;1;2022;2;LUCIANO EMIDIO NEVES DA FONSECA;90h;246M34;50;15;FGA - SALA I5;;;;;;;
104;FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA;2;2022;2;MARCUS VINICIUS CHAFFIM COSTA;90h;356M12;45;20;FGA - SALA S8;;;;;;;
105;FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA;3;2022;2;ROBERTO DE SOUZA BAPTISTA;90h;356M12;40;35;FGA - SALA I9 / SALA I7 / SALA I3;;;;;;;
106;FGA0103 - SISTEMAS OPERACIONAIS EMBARCADOS;1;2022;2;DIOGO CAETANO GARCIA;90h;246T23;50;19;FGA - SALA LAB SS;;;;;;;
