salaSeparada;infoSala;predio;lotacao
I1;Sala I1 - AT 49/41 UAC;UAC;45
I2;Sala I2 - AT 42/48 UAC;UAC;60
I3;Sala I3 39/48;UAC;60
I4;Sala I4 32/41;UAC;45
I5;Sala I5 29/41;UAC;45
I6;I6 Lab (laptop);UAC;40
I7;I7 19/48 lab;UAC;40
I8;I8 12/41;UAC;45
I9;I9 09/41;UAC;130
I10;I10 lab;UAC;80
S1;S1 62/41;UAC;130
S2;S2 59/41;UAC;130
S3;S3 42/41;UAC;130
S4;S4 ;UAC;130
S5;S5 29/41;UAC;45
S6;S6 22/48;UAC;60
S7;S7 19/48;UAC;60
S8;S8 12/41;UAC;45
S9;S9 09/41;UAC;130
S10;S10 09/23 lab;UAC;80
Anfiteatro;Anfiteatro (UAC);UAC;240
Ante I-10;Ante-sala I10;UAC;20
Multi.;Sala multiuso;UAC;25
Lab.Quim.;Lab quimica UED;UED;20
Lab.NEI-1;Lab NEI 1 UED;UED;20
Lab.NEI-2;Lab NEI 2 UED;UED;20
Lab.SS;Lab SS;UED;45
Lab.Fis-1;Lab Fisica 1;UED;25
Lab.Ond;Lab Fisica 2;UED;25
Lab.Eletr.;Lab Eletr.;UED;20
Lab.Mater.;Lab Materiais;UED;15
Mocap;Lab Mocap;UED;60
Lab.Termoflui.;Lab termofluidos;UED;25
Lab.Termodin.;La termodinamica;UED;25
Lab.LDS;Lab LDS Ued;UED;15
Cont-4;Container nº 4;Container;45
Cont-8-SHP;Container nº 8;Container;16
Cont-17;Container nº 17;Container;30
LD.Sala-2;Sala 2 LDTEA;LDTEA;20
LD.Sala-3;Sala 3 LDTEA;LDTEA;30